date,hit_count,text_count
2012-07-03,1,1
2012-07-07,1,1
2012-07-09,2,2
2012-07-12,6,3
2012-07-14,1,1
2012-07-17,13,4
2012-07-18,3,2
2012-07-20,2,2
2012-07-21,1,1
2012-07-23,1,1
2012-07-25,1,1
2012-07-26,2,2
2012-07-27,7,2
2012-07-28,3,3
2012-07-30,9,3
2012-07-31,7,3
2012-08-01,1,1
2012-08-02,1,1
2012-08-03,1,1
2012-08-06,3,3
2012-08-07,1,1
2012-08-08,1,1
2012-08-14,1,1
2012-08-17,4,3
2012-08-18,1,1
2012-08-21,1,1
2012-08-23,5,2
2012-08-29,6,2
2012-08-30,2,1
2012-09-01,4,4
2012-09-04,1,1
2012-09-05,1,1
2012-09-06,1,1
2012-09-07,2,1
2012-09-08,2,2
2012-09-10,6,2
2012-09-11,6,1
2012-09-12,7,3
2012-09-13,2,1
2012-09-14,6,2
2012-09-17,3,2
2012-09-22,2,2
2012-09-24,1,1
2012-09-25,4,1
2012-09-27,1,1
2012-09-29,2,2
2012-10-01,2,2
2012-10-04,6,3
2012-10-08,14,4
2012-10-12,1,1
2012-10-13,1,1
2012-10-15,1,1
2012-10-18,9,7
2012-10-19,1,1
2012-10-20,1,1
2012-10-22,4,3
2012-10-30,1,1
2012-10-31,2,1
2012-11-02,2,1
2012-11-03,3,3
2012-11-05,2,2
2012-11-07,1,1
2012-11-08,4,2
2012-11-09,1,1
2012-11-10,1,1
2012-11-13,1,1
2012-11-14,1,1
2012-11-15,2,2
2012-11-19,2,1
2012-11-20,4,1
2012-11-21,1,1
2012-11-22,6,4
2012-11-23,4,3
2012-11-24,4,1
2012-11-26,2,1
2012-11-27,3,2
2012-11-28,7,2
2012-11-29,3,2
2012-11-30,5,5
2012-12-03,8,3
2012-12-05,2,2
2012-12-06,1,1
2012-12-07,6,4
2012-12-08,5,4
2012-12-10,4,1
2012-12-11,1,1
2012-12-12,3,1
2012-12-13,3,3
2012-12-14,1,1
2012-12-15,1,1
2012-12-20,4,2
2012-12-21,1,1
2012-12-22,2,2
2012-12-24,1,1
2012-12-28,1,1
2012-12-29,3,3
2012-12-31,1,1
2013-01-03,5,2
2013-01-05,1,1
2013-01-08,2,1
2013-01-09,1,1
2013-01-10,3,1
2013-01-12,3,1
2013-01-15,4,3
2013-01-17,4,4
2013-01-18,1,1
2013-01-19,2,2
2013-01-22,1,1
2013-01-24,2,2
2013-01-25,1,1
2013-01-28,1,1
2013-01-29,1,1
2013-01-31,2,2
2013-02-01,1,1
2013-02-02,5,3
2013-02-04,1,1
2013-02-05,1,1
2013-02-06,10,6
2013-02-09,4,2
2013-02-12,1,1
2013-02-13,1,1
2013-02-14,1,1
2013-02-15,1,1
2013-02-20,1,1
2013-02-21,2,2
2013-02-23,7,5
2013-02-25,1,1
2013-02-26,2,1
2013-02-28,1,1
2013-03-02,1,1
2013-03-04,2,1
2013-03-06,1,1
2013-03-07,2,1
2013-03-08,1,1
2013-03-09,5,3
2013-03-11,1,1
2013-03-13,2,2
2013-03-15,1,1
2013-03-16,1,1
2013-03-18,3,1
2013-03-19,1,1
2013-03-20,7,2
2013-03-21,1,1
2013-03-22,1,1
2013-03-23,1,1
2013-03-27,1,1
2013-03-28,1,1
2013-03-30,1,1
2013-04-02,1,1
2013-04-03,2,2
2013-04-05,7,4
2013-04-06,3,1
2013-04-09,12,4
2013-04-10,4,1
2013-04-12,4,2
2013-04-13,6,3
2013-04-15,3,3
2013-04-17,3,2
2013-04-19,4,4
2013-04-20,1,1
2013-04-24,1,1
2013-04-25,2,2
2013-04-27,1,1
2013-05-02,5,2
2013-05-03,1,1
2013-05-04,4,1
2013-05-06,1,1
2013-05-08,1,1
2013-05-10,3,2
2013-05-14,2,1
2013-05-15,2,2
2013-05-16,1,1
2013-05-17,2,2
2013-05-21,7,2
2013-05-22,2,2
2013-05-24,1,1
2013-05-25,5,2
2013-05-27,4,1
2013-05-28,3,1
2013-05-30,1,1
2013-06-04,2,2
2013-06-06,1,1
2013-06-07,2,2
2013-06-08,2,2
2013-06-11,9,4
2013-06-12,4,2
2013-06-14,3,3
2013-06-18,5,4
2013-06-20,11,4
2013-06-21,7,3
2013-06-22,3,3
2013-06-24,1,1
2013-06-25,2,1
2013-06-26,2,2
2013-06-27,2,2
2013-06-28,4,2
2013-06-29,2,2
2013-07-01,1,1
2013-07-03,2,2
2013-07-04,1,1
2013-07-08,1,1
2013-07-11,1,1
2013-07-16,1,1
2013-07-17,2,2
2013-07-19,1,1
2013-07-25,1,1
2013-07-29,7,4
2013-08-06,2,2
2013-08-12,1,1
2013-08-13,1,1
2013-08-15,2,1
2013-08-17,1,1
2013-08-19,2,1
2013-08-21,2,2
2013-08-23,5,4
2013-08-24,1,1
2013-08-26,2,2
2013-08-30,1,1
2013-09-02,6,5
2013-09-03,2,2
2013-09-11,1,1
2013-09-13,5,3
2013-09-16,2,2
2013-09-17,1,1
2013-09-18,1,1
2013-09-21,2,2
2013-09-23,4,1
2013-09-24,1,1
2013-09-26,1,1
2013-09-27,3,1
2013-09-28,9,3
2013-09-30,3,3
2013-10-01,7,4
2013-10-02,5,1
2013-10-05,2,2
2013-10-07,1,1
2013-10-10,1,1
2013-10-11,2,2
2013-10-12,4,4
2013-10-14,1,1
2013-10-15,2,2
2013-10-16,5,3
2013-10-17,2,2
2013-10-19,1,1
2013-10-21,1,1
2013-10-22,3,3
2013-10-23,1,1
2013-10-24,3,3
2013-10-25,4,4
2013-10-28,1,1
2013-11-02,1,1
2013-11-04,2,2
2013-11-05,10,8
2013-11-06,1,1
2013-11-07,4,2
2013-11-08,3,1
2013-11-09,8,4
2013-11-11,2,1
2013-11-12,10,3
2013-11-13,2,1
2013-11-16,2,2
2013-11-18,2,2
2013-11-19,3,1
2013-11-20,3,2
2013-11-21,7,3
2013-11-22,2,2
2013-11-23,1,1
2013-11-25,10,5
2013-11-26,1,1
2013-11-27,4,2
2013-11-28,1,1
2013-11-29,2,1
2013-12-04,1,1
2013-12-05,3,2
2013-12-06,1,1
2013-12-12,3,2
2013-12-13,2,2
2013-12-16,2,2
2013-12-18,4,1
2013-12-19,1,1
2013-12-20,4,4
2013-12-21,2,1
2013-12-24,1,1
2013-12-30,2,1
2014-01-02,2,1
2014-01-03,1,1
2014-01-04,5,3
2014-01-09,4,3
2014-01-10,5,3
2014-01-11,4,2
2014-01-14,2,1
2014-01-15,1,1
2014-01-17,7,5
2014-01-20,3,2
2014-01-21,1,1
2014-01-22,1,1
2014-01-23,5,2
2014-01-24,3,2
2014-01-25,2,2
2014-01-27,1,1
2014-01-28,2,1
2014-01-29,2,2
2014-01-30,1,1
2014-01-31,2,2
2014-02-01,2,2
2014-02-05,1,1
2014-02-06,2,2
2014-02-08,4,2
2014-02-11,1,1
2014-02-12,4,1
2014-02-13,1,1
2014-02-15,1,1
2014-02-17,2,1
2014-02-18,6,3
2014-02-19,1,1
2014-02-21,1,1
2014-02-22,1,1
2014-02-26,3,1
2014-02-27,2,2
2014-02-28,2,1
2014-03-01,2,1
2014-03-05,7,4
2014-03-06,3,1
2014-03-07,3,1
2014-03-08,5,2
2014-03-10,1,1
2014-03-11,1,1
2014-03-12,4,2
2014-03-18,1,1
2014-03-19,5,3
2014-03-21,3,2
2014-03-22,8,3
2014-03-25,8,4
2014-03-27,3,1
2014-03-28,3,1
2014-03-29,2,2
2014-03-31,6,2
2014-04-01,13,2
2014-04-02,2,1
2014-04-03,3,2
2014-04-04,2,1
2014-04-08,2,1
2014-04-11,1,1
2014-04-12,1,1
2014-04-14,4,2
2014-04-15,2,2
2014-04-16,1,1
2014-04-19,2,2
2014-04-22,3,2
2014-04-25,1,1
2014-04-26,2,2
2014-04-29,2,2
2014-04-30,5,4
2014-05-03,1,1
2014-05-06,3,2
2014-05-08,1,1
2014-05-09,1,1
2014-05-10,2,2
2014-05-12,4,2
2014-05-13,1,1
2014-05-14,1,1
2014-05-15,1,1
2014-05-19,1,1
2014-05-21,4,2
2014-05-22,2,1
2014-05-23,2,1
2014-05-24,3,2
2014-05-30,2,2
2014-05-31,3,3
2014-06-04,1,1
2014-06-05,2,2
2014-06-06,2,2
2014-06-13,1,1
2014-06-14,2,2
2014-06-17,2,2
2014-06-19,1,1
2014-06-23,2,2
2014-06-24,1,1
2014-06-25,1,1
2014-06-30,5,2
2014-07-03,3,1
2014-07-07,2,1
2014-07-08,2,2
2014-07-09,1,1
2014-07-10,6,3
2014-07-12,3,3
2014-07-14,1,1
2014-07-15,6,4
2014-07-16,11,3
2014-07-17,3,1
2014-07-18,4,3
2014-07-19,2,2
2014-07-23,2,2
2014-07-24,2,1
2014-07-26,3,1
2014-07-28,4,3
2014-07-29,2,2
2014-07-30,1,1
2014-08-01,1,1
2014-08-06,4,3
2014-08-08,1,1
2014-08-09,1,1
2014-08-11,1,1
2014-08-13,1,1
2014-08-15,2,1
2014-08-18,1,1
2014-08-19,1,1
2014-08-22,1,1
2014-08-25,5,3
2014-08-26,3,1
2014-09-01,1,1
2014-09-09,1,1
2014-09-11,2,2
2014-09-15,1,1
2014-09-16,3,3
2014-09-17,1,1
2014-09-18,6,2
2014-09-20,1,1
2014-09-22,3,1
2014-09-23,4,2
2014-09-24,1,1
2014-09-25,10,4
2014-09-27,1,1
2014-09-29,1,1
2014-09-30,1,1
2014-10-01,7,2
2014-10-02,1,1
2014-10-04,1,1
2014-10-07,3,2
2014-10-09,1,1
2014-10-10,1,1
2014-10-11,1,1
2014-10-13,2,1
2014-10-14,2,2
2014-10-15,2,2
2014-10-16,5,2
2014-10-17,1,1
2014-10-18,3,2
2014-10-20,2,2
2014-10-21,1,1
2014-10-22,3,1
2014-10-23,2,2
2014-10-24,3,3
2014-10-25,5,4
2014-10-27,1,1
2014-10-28,1,1
2014-10-29,4,3
2014-10-31,1,1
2014-11-01,4,1
2014-11-03,1,1
2014-11-04,1,1
2014-11-05,2,1
2014-11-06,8,2
2014-11-08,2,2
2014-11-10,3,1
2014-11-11,1,1
2014-11-12,5,3
2014-11-13,4,4
2014-11-15,2,1
2014-11-17,2,1
2014-11-18,9,5
2014-11-19,4,2
2014-11-20,9,4
2014-11-21,1,1
2014-11-25,5,4
2014-11-27,2,2
2014-11-29,1,1
2014-12-01,1,1
2014-12-02,1,1
2014-12-03,6,3
2014-12-04,3,2
2014-12-05,7,4
2014-12-06,1,1
2014-12-09,4,2
2014-12-10,5,2
2014-12-11,2,2
2014-12-12,1,1
2014-12-13,2,1
2014-12-15,6,3
2014-12-16,1,1
2014-12-18,2,1
2014-12-20,9,3
2014-12-23,2,2
2014-12-24,12,2
2014-12-29,2,2
2014-12-30,7,2
2014-12-31,1,1
2015-01-02,3,3
2015-01-03,4,1
2015-01-06,2,2
2015-01-07,4,1
2015-01-10,3,1
2015-01-12,1,1
2015-01-13,3,3
2015-01-14,1,1
2015-01-17,2,2
2015-01-22,1,1
2015-01-29,3,1
2015-01-31,4,3
2015-02-02,2,2
2015-02-05,1,1
2015-02-10,1,1
2015-02-11,2,1
2015-02-12,1,1
2015-02-13,1,1
2015-02-14,3,3
2015-02-17,1,1
2015-02-18,3,3
2015-02-19,3,2
2015-02-20,3,2
2015-02-21,9,2
2015-02-23,4,2
2015-02-24,2,2
2015-02-27,3,2
2015-02-28,1,1
2015-03-02,1,1
2015-03-06,2,2
2015-03-14,3,1
2015-03-16,1,1
2015-03-17,3,1
2015-03-18,3,2
2015-03-19,4,3
2015-03-21,2,2
2015-03-26,1,1
2015-03-27,1,1
2015-03-30,7,2
2015-03-31,2,1
2015-04-01,2,2
2015-04-02,1,1
2015-04-09,4,3
2015-04-11,1,1
2015-04-13,4,2
2015-04-14,1,1
2015-04-15,7,4
2015-04-20,5,3
2015-04-24,2,2
2015-04-25,3,3
2015-04-27,3,2
2015-04-28,3,2
2015-04-29,2,1
2015-04-30,5,3
2015-05-08,4,1
2015-05-11,1,1
2015-05-19,7,3
2015-05-20,1,1
2015-05-21,3,2
2015-05-22,2,1
2015-05-26,2,2
2015-05-27,5,3
2015-06-01,3,3
2015-06-02,5,4
2015-06-03,1,1
2015-06-04,4,3
2015-06-05,7,5
2015-06-06,7,4
2015-06-08,6,5
2015-06-09,8,5
2015-06-10,6,3
2015-06-11,1,1
2015-06-12,2,1
2015-06-15,2,1
2015-06-16,4,2
2015-06-18,11,2
2015-06-19,5,3
2015-06-20,1,1
2015-06-22,2,2
2015-06-23,2,1
2015-06-25,3,3
2015-06-26,2,2
2015-06-27,2,1
2015-06-29,5,3
2015-07-01,1,1
2015-07-02,2,1
2015-07-03,2,2
2015-07-04,5,2
2015-07-09,2,1
2015-07-10,5,3
2015-07-11,1,1
2015-07-14,4,3
2015-07-16,5,3
2015-07-17,1,1
2015-07-20,2,2
2015-07-22,1,1
2015-07-23,1,1
2015-07-25,1,1
2015-07-27,1,1
2015-07-28,2,1
2015-07-30,2,1
2015-07-31,2,2
2015-08-03,2,1
2015-08-04,6,2
2015-08-05,4,2
2015-08-06,2,1
2015-08-07,1,1
2015-08-12,3,3
2015-08-13,1,1
2015-08-17,2,2
2015-08-19,1,1
2015-08-20,6,2
2015-08-22,4,3
2015-08-24,9,8
2015-08-27,3,3
2015-08-28,5,2
2015-08-29,5,2
2015-08-31,8,2
2015-09-01,1,1
2015-09-03,3,2
2015-09-04,2,1
2015-09-07,5,3
2015-09-10,1,1
